NAME,GENDER,NACIONALITY,ROLE,ACRONYM,OFICIAL_NAME,START_DATE,END_DATE,TOPICS,STATION,INSTITUTIONS_LEAD,INST_LEAD_COUNTRY,FUNDING_SOURCES,Finished,lon,lat
"Werner, Holzinger",M,AT,Collaborator,Auchenorrhyncha,"INVENTARIO NACIONAL DE BIODIVERSIDAD  AUCHENORRHYNCHA (CHICHARRAS, CHICHARRITAS, MEMBRACIDOS, CERCOPIDOS Y FAMILIAS DE AUCHENORRHYNCHA RELATIVOS)",03/09/2018,12/31/2019,"Biodiversity, Auchenorrhyncha, True Hoppers, Planthoppers, Leafhoppers,Froghoppers, Cicadas, Treehoppers, Spittle Bugs, Costa Rica",Las Cruces,Institute of Zoology of the Karl-Franzens-University of Graz,AT,Personal Funding,Finished,15.4495241,47.0776328
"Laura, Chavarria Pizarro",F,CR,Principal Investigator,Actinos asociados adultos de avispas sociales,"Evaluación de microorganismos con actividad antimicrobiana asociados a adultos de avispas sociales (Hymenoptera: Vespidae; Polistinae, Epiponini).",01/01/2019,12/31/2020,"Microorganismos, avispas sociales, actividad antibiótica, obreras, reinas.    ",La Selva,Instituto Tecnológico de Costa Rica (TEC),CR,Vicerrectoria de Investigacion TEC,Approved,-83.912313,9.857247
"Alonso, Ramirez",M,CR,Advisor,Stream acidification carbon cycling,"Effects of acidification on stream metabolism, carbon cycling, and ecosystem processes in lowland Neotropical streams",01/29/2019,05/31/2021,"Stream acidification, groundwater, metabolism, decomposition, ecosystem",La Selva,North Carolina State University,US,NSF,Approved,-78.6820946,35.7846633
"Marcelo, Ardon Sayao",M,US,Advisor,Stream acidification carbon cycling,"Effects of acidification on stream metabolism, carbon cycling, and ecosystem processes in lowland Neotropical streams",01/29/2019,05/31/2021,"Stream acidification, groundwater, metabolism, decomposition, ecosystem",La Selva,North Carolina State University,US,NSF,Approved,-78.6820946,35.7846633
"Minor, Hidalgo",M,US,Field Assistant,Stream acidification carbon cycling,"Effects of acidification on stream metabolism, carbon cycling, and ecosystem processes in lowland Neotropical streams",01/29/2019,05/31/2021,"Stream acidification, groundwater, metabolism, decomposition, ecosystem",La Selva,North Carolina State University,US,NSF,Approved,-78.6820946,35.7846633
"Nicholas, Marzolf",M,US,Student,Stream acidification carbon cycling,"Effects of acidification on stream metabolism, carbon cycling, and ecosystem processes in lowland Neotropical streams",01/29/2019,05/31/2021,"Stream acidification, groundwater, metabolism, decomposition, ecosystem",La Selva,North Carolina State University,US,NSF,Approved,-78.6820946,35.7846633
"Christine, Whitehorse",F,US,Intern,Christine,Christine Whitehorse,06/03/2019,08/06/2019,"Biodiversity decline
species count
",Las Cruces,Navajo Technical University,US,,Finished,-108.1474931,35.6874308
"Olivia, Brooks",F,US,Student,Maternal provisioning of defenses in strawberry poison frog,Variation in the maternal provisioning of alkaloids in the strawberry poison frog Oophaga pumilio: the relationship between female and tadpole chemical profiles,03/01/2019,08/01/2019,"chemical defense, dendrobatid, maternal provisioning, Oophaga pumilio, tadpole",La Selva,John Carroll University,US,John Carroll University; John Carroll University,Finished,-81.5293129,41.490507
"Ralph, Saporito",M,US,Principal Investigator,Maternal provisioning of defenses in strawberry poison frog,Variation in the maternal provisioning of alkaloids in the strawberry poison frog Oophaga pumilio: the relationship between female and tadpole chemical profiles,03/01/2019,08/01/2019,"chemical defense, dendrobatid, maternal provisioning, Oophaga pumilio, tadpole",La Selva,John Carroll University,US,John Carroll University; John Carroll University,Finished,-81.5293129,41.490507
"Gloriana, Chaverri",F,CR,Supervisor,Insectivorous Bats,The effect of climate change on insectivorous bats of montane forests in Costa Rica,03/10/2019,03/10/2020,"climate change, insectivorous bats, pre-montane and montane forests, thermal tolerance, echolocation, sound attenuation, vulnerability. ",Las Cruces,Universidad de Costa Rica,CR,OTS - OET,Finished,-84.0510284,9.9369824
