NAME,GENDER,NACIONALITY,ROLE,ACRONYM,OFICIAL_NAME,START_DATE,END_DATE,TOPICS,STATION,INSTITUTIONS_LEAD,INST_LEAD_COUNTRY,FUNDING_SOURCES,Finished,lon,lat
"Yorelyz, Rodríguez Reyes",F,PR,Student,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,Universidad de Puerto Rico,PR,National Science Foundation NSF,Finished,-66.0500407,18.4028091
"Odemaris, Carrasquillo",F,US,Student,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,Universidad de Puerto Rico,PR,National Science Foundation NSF,Finished,-66.0500407,18.4028091
"Ana Grace, Alvarado",F,US,Student,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,College of Saint Benedict and Saint John's University,US,National Science Foundation NSF,Finished,-94.3944417,45.5796783
"Diego, Dierick",M,BE,Co-PI,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,Florida International University,US,National Science Foundation NSF,Finished,-80.3768786,25.7561275
"Steven, Oberbauer",M,US,Co-PI,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,Florida International University,US,National Science Foundation NSF,Finished,-80.3768786,25.7561275
"Shaquetta, Johnson",F,US,Student,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,Jackson State University,US,National Science Foundation NSF,Finished,-90.2064252,32.2968851
"Nicole, Trahan",F,US,Senior Personnel,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,University of Arizona,US,National Science Foundation NSF,Finished,-110.9501094,32.2318851
"Angel Santiago, Fernandez Bou",M,ES,Student,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,"University of California, Merced",US,National Science Foundation NSF,Finished,-120.4224179,37.3660652
"Thomas, Harmon",M,US,Co-PI,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,"University of California, Merced",US,National Science Foundation NSF,Finished,-120.4224179,37.3660652
"Amanda, Swanson",F,US,Student,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,"University of California, Riverside ( UCR )",US,National Science Foundation NSF,Finished,-117.3280644,33.9737055
"Emma, Aronson",F,US,Collaborator,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,"University of California, Riverside ( UCR )",US,National Science Foundation NSF,Finished,-117.3280644,33.9737055
"Jon, Botthoff",M,US,Field Assistant,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,"University of California, Riverside ( UCR )",US,National Science Foundation NSF,Finished,-117.3280644,33.9737055
"Michael, Allen",M,US,Co-PI,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,"University of California, Riverside ( UCR )",US,National Science Foundation NSF,Finished,-117.3280644,33.9737055
"Zhan, Chen",F,CN,Collaborator,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,"University of California, Riverside ( UCR )",US,National Science Foundation NSF,Finished,-117.3280644,33.9737055
"Tamara, Zelikova",F,US,Principal Investigator,Atta biogeochemistry,Nidos de hormigas defoliadoras: chimeneas de CO2 en el sotobosque del bosque tropical,08/18/2014,06/30/2018,"Atta cephalotes, biogeochemistry, carbon dynamics, leaf cutters",La Selva,University of Wyoming,US,National Science Foundation NSF,Finished,-105.5665744,41.3148754
"Sara, Lipshutz",F,US,Principal Investigator,Jacanas,Behavioral Ecology of Northern and Wattled Jacana Hybridization,08/18/2014,09/30/2014,"hybrid zone, sexual selection, polyandry, jacana",Palo Verde,The Tulane University of New Orleans,US,NSF GRFP,Finished,-90.1203167,29.9407282
"Andrea, Schluter",F,CA,Volunteer,D&L,Diversification and Latitude,03/01/2015,03/31/2015,"Speciation, diversification, latitudinal diversity gradient",Las Cruces,University of British Columbia,CA,Natural Sciences and Engineering Research Council of Canada,Finished,-123.2459938,49.2606052
"Dolph, Schluter",M,CA,Principal Investigator,D&L,Diversification and Latitude,03/01/2015,03/31/2015,"Speciation, diversification, latitudinal diversity gradient",Las Cruces,University of British Columbia,CA,Natural Sciences and Engineering Research Council of Canada,Finished,-123.2459938,49.2606052
"Dolph, Schluter",M,CA,Principal Investigator,D&L,Diversification and Latitude,03/31/2015,04/30/2015,"Speciation, diversification, latitudinal diversity gradient",La Selva,University of British Columbia,CA,Natural Sciences and Engineering Research Council of Canada,Postponed,-123.2459938,49.2606052
"Elizabeth, Clare",F,CA,Co-PI,Molecular network structure of Phyllostomidae bats` diet,Determinants and consequences of ecological network structure: a molecular approach based on bat diets,07/15/2014,07/15/2015,"Bat-plant interaction,
Diet,
Molecular approach,
Network,
",La Selva, University of London,GB,Science without Borders,Finished,-0.1308206,51.5229378
"Hernani, Oliveira",M,PT,Student,Molecular network structure of Phyllostomidae bats` diet,Determinants and consequences of ecological network structure: a molecular approach based on bat diets,07/15/2014,07/15/2015,"Bat-plant interaction,
Diet,
Molecular approach,
Network,
",La Selva, University of London,GB,Science without Borders,Finished,-0.1308206,51.5229378
"Stephen, Rossiter",M,GB,Principal Investigator,Molecular network structure of Phyllostomidae bats` diet,Determinants and consequences of ecological network structure: a molecular approach based on bat diets,07/15/2014,07/15/2015,"Bat-plant interaction,
Diet,
Molecular approach,
Network,
",La Selva, University of London,GB,Science without Borders,Finished,-0.1308206,51.5229378
"Thomas, Powers",M,US,Principal Investigator,Diversity,Non-Destructive Study of Insect Diversity,08/09/2014,08/15/2014,"Sampling, trapping, attraction, non-destructive",La Selva,University of Nebraska - Lincoln,US,,Finished,-96.7004763,40.8201966
"Thomas, Weissling",M,US,Principal Investigator,Diversity,Non-Destructive Study of Insect Diversity,08/09/2014,08/15/2014,"Sampling, trapping, attraction, non-destructive",La Selva,University of Nebraska - Lincoln,US,,Finished,-96.7004763,40.8201966
"Thomas, Powers",M,US,Principal Investigator,Collecting,Insect Diversity Preservation,08/09/2014,08/15/2014,"Diversity, classification, curating, collecting",La Selva,University of Nebraska - Lincoln,US,,Finished,-96.7004763,40.8201966
"Thomas, Weissling",M,US,Principal Investigator,Collecting,Insect Diversity Preservation,08/09/2014,08/15/2014,"Diversity, classification, curating, collecting",La Selva,University of Nebraska - Lincoln,US,,Finished,-96.7004763,40.8201966
"Wade, Worthen",M,US,Principal Investigator,Dragonfly,The Effect of Competition and Predation in Dragonfly Communities,05/01/2015,08/31/2017,"Odonata, dragonfly, competition, predation, community structure, resource partitioning",La Selva,Furman University,US,Furman University,Finished,-82.4400724,34.9260157
"Sabine, Wintergerst",F,DE,Principal Investigator,Behavior of Glossophaga commissarisi,"Ecology and behavior of the nectar-feeding bat Glossophaga commissarisi
",08/01/2014,08/01/2017,"Animal Peronality, nectarivorous bats, foraging behavior",La Selva,Humboldt Universität Berlin,DE,Elsa-Neumann Scholarship; Humboldt Universität Berlin,Finished,13.3936551,52.517883
"Shambhavi, Chidambaram",F,IN,Field Assistant,Behavior of Glossophaga commissarisi,"Ecology and behavior of the nectar-feeding bat Glossophaga commissarisi
",08/01/2014,08/01/2017,"Animal Peronality, nectarivorous bats, foraging behavior",La Selva,Humboldt Universität Berlin,DE,Elsa-Neumann Scholarship; Humboldt Universität Berlin,Finished,13.3936551,52.517883
"York, Winter",F,DE,Co-PI,Behavior of Glossophaga commissarisi,"Ecology and behavior of the nectar-feeding bat Glossophaga commissarisi
",08/01/2014,08/01/2017,"Animal Peronality, nectarivorous bats, foraging behavior",La Selva,Humboldt Universität Berlin,DE,Elsa-Neumann Scholarship; Humboldt Universität Berlin,Finished,13.3936551,52.517883
"Beau, Garcia",M,US,Student,Herpetofauna in Secondary Forests,"EFFECTS OF ENVIRONMENTAL VARIATION ON AMPHIBIAN AND REPTILE COMMUNITY ASSEMBLY, HABITAT USE, AND MORPHOLOGY DURING TROPICAL SECONDARY FOREST SUCCESSION",09/13/2014,,"herpetofauna, amphibian, reptile, secondary forest, succession, occupancy",La Selva,Florida International University,US,NSF; OTS - OET; OTS - OET; Fulbright,Approved,-80.3768786,25.7561275
"Broeck, David",M,US,Volunteer,Herpetofauna in Secondary Forests,"EFFECTS OF ENVIRONMENTAL VARIATION ON AMPHIBIAN AND REPTILE COMMUNITY ASSEMBLY, HABITAT USE, AND MORPHOLOGY DURING TROPICAL SECONDARY FOREST SUCCESSION",09/13/2014,,"herpetofauna, amphibian, reptile, secondary forest, succession, occupancy",La Selva,Florida International University,US,NSF; OTS - OET; OTS - OET; Fulbright,Approved,-80.3768786,25.7561275
"Caitlin, Campbell",F,US,Volunteer,Herpetofauna in Secondary Forests,"EFFECTS OF ENVIRONMENTAL VARIATION ON AMPHIBIAN AND REPTILE COMMUNITY ASSEMBLY, HABITAT USE, AND MORPHOLOGY DURING TROPICAL SECONDARY FOREST SUCCESSION",09/13/2014,,"herpetofauna, amphibian, reptile, secondary forest, succession, occupancy",La Selva,Florida International University,US,NSF; OTS - OET; OTS - OET; Fulbright,Approved,-80.3768786,25.7561275
"Jennifer, Symmons",F,US,Volunteer,Herpetofauna in Secondary Forests,"EFFECTS OF ENVIRONMENTAL VARIATION ON AMPHIBIAN AND REPTILE COMMUNITY ASSEMBLY, HABITAT USE, AND MORPHOLOGY DURING TROPICAL SECONDARY FOREST SUCCESSION",09/13/2014,,"herpetofauna, amphibian, reptile, secondary forest, succession, occupancy",La Selva,Florida International University,US,NSF; OTS - OET; OTS - OET; Fulbright,Approved,-80.3768786,25.7561275
"Lauren, Ross",F,US,Volunteer,Herpetofauna in Secondary Forests,"EFFECTS OF ENVIRONMENTAL VARIATION ON AMPHIBIAN AND REPTILE COMMUNITY ASSEMBLY, HABITAT USE, AND MORPHOLOGY DURING TROPICAL SECONDARY FOREST SUCCESSION",09/13/2014,,"herpetofauna, amphibian, reptile, secondary forest, succession, occupancy",La Selva,Florida International University,US,NSF; OTS - OET; OTS - OET; Fulbright,Approved,-80.3768786,25.7561275
"Luke, Linhoff",M,US,Volunteer,Herpetofauna in Secondary Forests,"EFFECTS OF ENVIRONMENTAL VARIATION ON AMPHIBIAN AND REPTILE COMMUNITY ASSEMBLY, HABITAT USE, AND MORPHOLOGY DURING TROPICAL SECONDARY FOREST SUCCESSION",09/13/2014,,"herpetofauna, amphibian, reptile, secondary forest, succession, occupancy",La Selva,Florida International University,US,NSF; OTS - OET; OTS - OET; Fulbright,Approved,-80.3768786,25.7561275
"Michelle, Thompson",F,US,Principal Investigator,Herpetofauna in Secondary Forests,"EFFECTS OF ENVIRONMENTAL VARIATION ON AMPHIBIAN AND REPTILE COMMUNITY ASSEMBLY, HABITAT USE, AND MORPHOLOGY DURING TROPICAL SECONDARY FOREST SUCCESSION",09/13/2014,,"herpetofauna, amphibian, reptile, secondary forest, succession, occupancy",La Selva,Florida International University,US,NSF; OTS - OET; OTS - OET; Fulbright,Approved,-80.3768786,25.7561275
"Xochitl, Ortiz-Ross",F,US,Student,Herpetofauna in Secondary Forests,"EFFECTS OF ENVIRONMENTAL VARIATION ON AMPHIBIAN AND REPTILE COMMUNITY ASSEMBLY, HABITAT USE, AND MORPHOLOGY DURING TROPICAL SECONDARY FOREST SUCCESSION",09/13/2014,,"herpetofauna, amphibian, reptile, secondary forest, succession, occupancy",La Selva,Florida International University,US,NSF; OTS - OET; OTS - OET; Fulbright,Approved,-80.3768786,25.7561275
"christian, krupke",M,CA,Volunteer,Herpetofauna in Secondary Forests,"EFFECTS OF ENVIRONMENTAL VARIATION ON AMPHIBIAN AND REPTILE COMMUNITY ASSEMBLY, HABITAT USE, AND MORPHOLOGY DURING TROPICAL SECONDARY FOREST SUCCESSION",09/13/2014,,"herpetofauna, amphibian, reptile, secondary forest, succession, occupancy",La Selva,Florida International University,US,NSF; OTS - OET; OTS - OET; Fulbright,Approved,-80.3768786,25.7561275
"Angela, Erb",F,US,Student,Tropical Forest Lidar ,Mapping Tropical Forest Structure with Terrestrial Lidar ,01/10/2015,01/31/2015,"Forest Structure, Biomass, Lidar",La Selva,University of Massachusetts at Boston,US,University of Massachusetts Boston,Finished,-71.0373279,42.3144915
"Crystal, Schaaf",F,US,Principal Investigator,Tropical Forest Lidar ,Mapping Tropical Forest Structure with Terrestrial Lidar ,01/10/2015,01/31/2015,"Forest Structure, Biomass, Lidar",La Selva,University of Massachusetts at Boston,US,University of Massachusetts Boston,Finished,-71.0373279,42.3144915
"Edward, Saenz",M,US,Student,Tropical Forest Lidar ,Mapping Tropical Forest Structure with Terrestrial Lidar ,01/10/2015,01/31/2015,"Forest Structure, Biomass, Lidar",La Selva,University of Massachusetts at Boston,US,University of Massachusetts Boston,Finished,-71.0373279,42.3144915
"Francesco, Peri",M,US,Senior Personnel,Tropical Forest Lidar ,Mapping Tropical Forest Structure with Terrestrial Lidar ,01/10/2015,01/31/2015,"Forest Structure, Biomass, Lidar",La Selva,University of Massachusetts at Boston,US,University of Massachusetts Boston,Finished,-71.0373279,42.3144915
"Ian, Paynter",M,US,Student,Tropical Forest Lidar ,Mapping Tropical Forest Structure with Terrestrial Lidar ,01/10/2015,01/31/2015,"Forest Structure, Biomass, Lidar",La Selva,University of Massachusetts at Boston,US,University of Massachusetts Boston,Finished,-71.0373279,42.3144915
"Pedro, Rojas Chaves",M,CR,Principal Investigator,Combustibles forestales,"Combustibles de la cobertura vegetal superficial de los bosques del Parque Nacional Palo Verde, Guanacaste, Costa Rica",09/01/2014,02/06/2018,"Combustión, incendios forestales, carga de combustibles, índice de peligrosidad de combustibles superficiales, Costa Rica.",Palo Verde,Instituto Tecnológico de Costa Rica (TEC),CR,,Finished,-83.912313,9.857247
"Pedro, Rojas Chaves",M,CR,Principal Investigator,Combustibles forestales,"Combustibles de la cobertura vegetal superficial de los bosques del Parque Nacional Palo Verde, Guanacaste, Costa Rica",09/01/2014,,"Combustión, incendios forestales, carga de combustibles, índice de peligrosidad de combustibles superficiales, Costa Rica.",Palo Verde,Instituto Tecnológico de Costa Rica (TEC),CR,,Postponed,-83.912313,9.857247
"Wade, Worthen",M,US,Principal Investigator,Wade,The Effect of Competition and Predation in Dragonfly Communities,05/01/2015,08/31/2016,"Odonata, dragonfly, competition, predation, community structure, resource partitioning",Palo Verde,Furman University,US,Furman University,Finished,-82.4400724,34.9260157
"John, Cossel, Jr",M,US,Principal Investigator,photos and audio,Acquiring photos and digital audio files of the Amphibians of Costa Rica.,10/17/2014,,"photography, field studio, audio",La Selva,Northwest Nazarene University,US,,Approved,-116.5665422,43.5614811
"Daniel, Beatriz",M,CR,Principal Investigator,Odonata Las Cruces Biological Station 2015,"Estructura espacial y temporal de la comunidad de larvas de odonatos (Odonata) en quebradas de la zona cafetalera, asociadas a la Estación Biológica Las Cruces",01/12/2015,01/21/2015,"Please see the proposal file, thanks.",Las Cruces,Universidad Estatal a Distancia (UNED),CR,Familia Beatriz Gutiérrez; Hovore-Horn Fellowship,Finished,-84.0620225,9.9338769
"Marisa, Tellez",F,US,Principal Investigator,Crocodilian Parasitism,"Predicting Aquatic Ecosystem Health through Crocodilian Top Predators and their Parasites
",10/03/2015,,"Crocodilians, parasite, biodiversity assay, heavy metal analysis, fish, macroinvertebrates",La Selva,"University of California, Santa Barbara",US,National Science Foundation NSF,Postponed,-119.848947,34.4139629
"John, Noyes",M,IO,Principal Investigator,ECR,Encyrtidae of Costa Rica,10/01/1996,03/01/2019,"Encyrtidae, Taxonomy, Revision, Keys to Taxa, Host records",La Selva,Natural History Museum of Berlin,DE,Personal funds,Finished,13.3791755,52.5305726
"Elena, Albertsen",F,NO,Co-PI,Dalechampia study,Evolutionary ecology of Dalechampia (Euphorbiaceae),10/10/2014,01/12/2015,"Dalechampia, selection, mating system spatial variation  ",Palo Verde,Norwegian University of Science and Technology,NO,,Finished,10.4020771,63.419499
"Rocio, Perez-Barrales",F,ES,Collaborator,Dalechampia study,Evolutionary ecology of Dalechampia (Euphorbiaceae),10/10/2014,01/12/2015,"Dalechampia, selection, mating system spatial variation  ",Palo Verde,University of Portsmouth,GB,,Finished,-1.0936063,50.7952043
"Marc, Pollet",M,BE,Principal Investigator,Dolichopodidae of La Selva,The species richness of Dolichopodidae (Diptera) in the La Selva Biological Station in relation to habitats and microhabitats,04/04/2015,04/08/2015,"Diptera, Dolichopodidae",La Selva,Governmental Institute for Biodiversity Research in Flanders (northern Belgium),BE,,Finished,3.7264613,51.0108706
"Alejandro, Zaldívar-Riverón",M,MX,Supervisor,Taeniopoda,Revisión taxonómica del género Taeniopoda (Orthoptera: Romaleidae: Romaleini),07/01/2014,08/31/2015,"Taeniopoda, saltamontes, taxonomía, morfología, diversidad",La Selva,Universidad Nacional Autónoma de México ( UNAM ),MX,CONACyT,Finished,-99.1865774,19.3228313
"Paul, Hanson",M,US,Supervisor,Taeniopoda,Revisión taxonómica del género Taeniopoda (Orthoptera: Romaleidae: Romaleini),07/01/2014,08/31/2015,"Taeniopoda, saltamontes, taxonomía, morfología, diversidad",La Selva,Universidad Nacional Autónoma de México ( UNAM ),MX,CONACyT,Finished,-99.1865774,19.3228313
"Vladimir Salvador, De Jesús-Bonilla",M,MX,Principal Investigator,Taeniopoda,Revisión taxonómica del género Taeniopoda (Orthoptera: Romaleidae: Romaleini),07/01/2014,08/31/2015,"Taeniopoda, saltamontes, taxonomía, morfología, diversidad",La Selva,Universidad Nacional Autónoma de México ( UNAM ),MX,CONACyT,Finished,-99.1865774,19.3228313
"Ludovic, Le Renard",M,FR,Principal Investigator,EpiFungi,Sampling tropical epiphyllous fungi (Order: Microthyriales) for molecular phylogenetic inference and morphological comparison with their fossil relatives,12/26/2014,01/16/2015,"epiphyllous fungi, fossils, Microthyriales, molecular phylogeny, systematics",La Selva,University of British Columbia,CA,Canadian National Science and Engineering Research Council grant ,Finished,-123.2459938,49.2606052
"Anahi Cosky, Paca Condori",F,BO,Principal Investigator,Ácaros de colibríes,DIVERSIDAD DE ÁCAROS EN LA INFLORESCENCIA DE Heliconia pogonantha INFLUENCIADA POR LA VISITA DE LOS COLIBRÍES,10/15/2014,,"Heliconia pogonatha, ácaro de flores y colibríes",La Selva,Museo de Historia Natural de la Universidad Nacional Mayor de San Marcos,PE,OTS - OET,Approved,-77.0370451,-12.0774102
"Liliana Yisela, Quispe Flores",M,PE,Field Assistant,Ácaros de colibríes,DIVERSIDAD DE ÁCAROS EN LA INFLORESCENCIA DE Heliconia pogonantha INFLUENCIADA POR LA VISITA DE LOS COLIBRÍES,10/15/2014,,"Heliconia pogonatha, ácaro de flores y colibríes",La Selva,Museo de Historia Natural de la Universidad Nacional Mayor de San Marcos,PE,OTS - OET,Approved,-77.0370451,-12.0774102
"Carlos, Silva",M,US,Student,Drone project,Quantifying the response of a Neotropical rain forest to environmental forcing,11/01/2014,,"remote sensing, carbon, environmental forcing, climate",La Selva,Brown University,US,Brown University,Approved,-71.4025482,41.8267718
"James, Kellner",M,US,Principal Investigator,Drone project,Quantifying the response of a Neotropical rain forest to environmental forcing,11/01/2014,,"remote sensing, carbon, environmental forcing, climate",La Selva,Brown University,US,Brown University,Approved,-71.4025482,41.8267718
"Richard, Merrill",M,GB,Collaborator,Heliconius brains,Adaptations in brain structure during ecological specialisation in Heliconius butterflies,03/01/2015,08/31/2015,"Heliconiini, Heliconius, brain, behaviour, adaptation, speciation",La Selva,University of London,GB,Leverhulme Trust,Finished,-0.1308206,51.5229378
"Stephen, Montgomery",M,IO,Principal Investigator,Heliconius brains,Adaptations in brain structure during ecological specialisation in Heliconius butterflies,03/01/2015,08/31/2015,"Heliconiini, Heliconius, brain, behaviour, adaptation, speciation",La Selva,University of London,GB,Leverhulme Trust,Finished,-0.1308206,51.5229378
"Richard, Merrill",M,GB,Collaborator,Heliconius brains,Adaptations in brain structure during ecological specialisation in Heliconius butterflies,03/01/2015,08/31/2015,"Heliconiini, Heliconius, brain, behaviour, adaptation, speciation",Las Cruces,University of London,GB,Leverhulme Trust,Finished,-0.1308206,51.5229378
"Stephen, Montgomery",M,IO,Principal Investigator,Heliconius brains,Adaptations in brain structure during ecological specialisation in Heliconius butterflies,03/01/2015,08/31/2015,"Heliconiini, Heliconius, brain, behaviour, adaptation, speciation",Las Cruces,University of London,GB,Leverhulme Trust,Finished,-0.1308206,51.5229378
"Ann-Elizabeth, Nash",F,US,Principal Investigator,SNACS ,Behavioral type and social network organization in the Spiny-tailed Iguana (Ctenosaura similis),03/05/2013,,,Palo Verde,University of Northern Colorado,US,,Approved,-104.7002313,40.4032798
"Ann, Fagan",F,US,Principal Investigator,Landuse and Periphyton,Land­use as a mediator of periphyton growth limitation in dry Neotropical forest streams,12/01/2014,12/22/2014,"Land-use, periphyton, nutrients, light, dry Neotropical growth forest",Palo Verde,Dartmouth College,US,,Finished,-72.2886935,43.7044406
"José Esteban, Jiménez Vargas",M,CR,Student,Aristolochiaceae de Costa Rica,Revisión taxonómica de la familia Aristolochiaceae para Costa Rica,11/14/2014,07/31/2016,"Aristolochiaceae, taxonomia, floristica, herbarios.",La Selva,Universidad de Costa Rica,CR,,Finished,-84.0510284,9.9369824
"Mario, Blanco Coto",M,CR,Principal Investigator,Aristolochiaceae de Costa Rica,Revisión taxonómica de la familia Aristolochiaceae para Costa Rica,11/14/2014,07/31/2016,"Aristolochiaceae, taxonomia, floristica, herbarios.",La Selva,Universidad de Costa Rica,CR,,Finished,-84.0510284,9.9369824
"Alejandra, Perez Enriquez",F,CR,Student,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Erick, Calderón",M,US,Student,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Fabian, Michelangeli",M,US,Co-PI,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Frank, Almeda",M,US,Co-PI,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Georgia, Hernández",F,CR,Student,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Gerardo, Avalos",M,US,Senior Personnel,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Nathan, Kraft",M,US,Co-PI,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Ned, Fetcher",M,US,Principal Investigator,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Pablo, Barquero",M,CR,Student,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Pablo, Muñoz",M,US,Student,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Ricardo, Kriebel",M,US,Senior Personnel,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Roberto, Cordero",M,CR,Senior Personnel,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
"Sebastian, Moreno",M,US,Student,Melastomes,Evolution of functional traits in the Melastomataceae,01/01/2015,12/31/2015,"Melastomes
Malastomataceae
elevational transect
Braulio Carrillo
Functional traits
life history
plant height
leaf area
leaf area:sapwood area ratio
specific leaf area
leaf nitrogen content ",La Selva,Wilkes University,US,NSF- International,Finished,-75.8883633,41.2449585
